arm,seed,case_id,K,alpha,regime,complete,failure_time,mass_drift,momentum_drift,energy_drift,late_field_log10_rmse,late_electric_mode1_phase_mae,late_perturbation_relative_l2
A,0,K0p280_a0p085,0.28,0.085,strong_nonlinear,True,,4.76837158203125e-07,1.4826655387878418e-06,0.0003122458728844772,0.5294862793935903,0.2564442518361952,0.8376589312756464
A,0,K0p303_a0p035,0.303,0.035,transition,False,78.78,6.556510925292969e-07,1.7168931663036346e-06,0.0038957569430398604,,,
A,0,K0p361_a0p035,0.361,0.035,transition,True,,8.940696716308594e-07,9.546056389808655e-08,8.186962700909844e-06,0.7200247843733899,0.12982510565757927,1.750661253408239
A,0,K0p407_a0p105,0.407,0.105,strong_nonlinear,True,,4.172325134277344e-07,3.5323319025337696e-07,5.768499057311884e-06,1.3346518013595439,0.8545535357476873,0.8541153613999865
A,0,K0p454_a0p125,0.454,0.125,strong_nonlinear,True,,5.364418029785156e-07,8.981442078948021e-07,3.1355653045219674e-05,0.8414678275939736,1.0937185246488241,1.8170419151920272
A,0,K0p500_a0p165,0.5,0.165,strong_nonlinear,True,,8.344650268554688e-07,7.16187059879303e-07,0.0001513786650821085,1.1933399613258535,1.0306651169234398,2.6239966882621983
A,0,K0p445_a0p030,0.445,0.03,weak,True,,2.384185791015625e-06,1.3441422197502106e-08,2.8545363935549325e-06,2.40368107005681,0.7623975608591557,6.334187604761621
A,0,K0p420_a0p122,0.42,0.122,strong_nonlinear,True,,7.152557373046875e-07,1.0922376532107592e-06,2.9739749737718283e-06,1.2385408121508852,1.2361617752770446,0.9624118420009776
A,0,K0p372_a0p085,0.372,0.085,strong_nonlinear,True,,1.6093254089355469e-06,4.3766340240836143e-07,2.0911771840486864e-06,0.7867731567882641,0.3217362207588886,0.7882097024933589
A,0,K0p368_a0p186,0.368,0.186,transition,False,70.27000000000001,4.76837158203125e-07,3.960682079195976e-06,0.003052186641096825,,,
A,0,K0p472_a0p032,0.472,0.032,weak,True,,1.0728836059570312e-06,3.9493897929787636e-08,7.374029571761558e-06,3.6126759264045085,2.2622947610807325,10.560168074106137
A,0,K0p460_a0p177,0.46,0.177,strong_nonlinear,True,,1.1920928955078125e-06,1.2436066754162312e-07,9.323381141929943e-06,0.6838060628186167,0.47396880180752327,0.9755849332010221
A,0,K0p280_a0p137,0.28,0.137,strong_nonlinear,False,70.44,1.5497207641601562e-06,2.4652108550071716e-06,0.0015685542195098632,,,
A,0,K0p342_a0p167,0.342,0.167,transition,False,76.74,5.960464477539062e-07,4.17360570281744e-06,0.003244537956365001,,,
A,0,K0p474_a0p051,0.474,0.051,weak,True,,1.9669532775878906e-06,4.736357368528843e-07,3.674220389694926e-06,3.147356603754943,1.4611309375687025,13.976409135191892
A,0,K0p295_a0p178,0.295,0.178,strong_nonlinear,True,,1.0728836059570312e-06,6.575719453394413e-07,0.00019222103846155397,0.6688912754722345,0.420062429121528,1.0385852062526588
A,0,K0p299_a0p105,0.299,0.105,strong_nonlinear,True,,8.940696716308594e-07,1.514330506324768e-06,0.0011018597659157147,0.6390757572017866,0.36667503529960677,0.9659750438769725
A,0,K0p321_a0p185,0.321,0.185,transition,False,69.59,1.0132789611816406e-06,1.7423881217837334e-06,0.0017007192173501984,,,
A,0,K0p412_a0p043,0.412,0.043,transition,True,,6.556510925292969e-07,2.401793608441949e-07,9.3665197427266e-06,1.3132278930047543,0.9008304395184124,3.404301298989415
