left,right,common_complete_cases,metric,A_median,B_median,median_paired_difference_B_minus_A
formal/A/seed0,formal/B/seed0,13,field_log10_rmse,1.1933399613258535,1.0336878350978844,0.048188759491956557
formal/A/seed0,formal/B/seed0,13,electric_mode1_phase_mae,0.8545535357476873,0.6965082767413713,-0.08375424930143582
formal/A/seed0,formal/B/seed0,13,perturbation_relative_l2,1.750661253408239,1.0320573600262521,-0.6359331408066755
formal/A/seed0,formal/C/seed0,14,field_log10_rmse,1.0174038944599135,0.9933867603707522,-0.05689838626161059
formal/A/seed0,formal/C/seed0,14,electric_mode1_phase_mae,0.8084755483034215,0.45502684810931426,-0.13987093321375085
formal/A/seed0,formal/C/seed0,14,perturbation_relative_l2,1.394623229830449,0.78772098953684,-0.6016323222136577
formal/A/seed1,formal/B/seed1,16,field_log10_rmse,1.0920600650868537,1.0229690683758712,0.004662011701004387
formal/A/seed1,formal/B/seed1,16,electric_mode1_phase_mae,0.7241965389731297,0.7800953977330771,-0.040597069921069845
formal/A/seed1,formal/B/seed1,16,perturbation_relative_l2,0.8939921675687281,0.9157728032759407,-0.07711375639426654
formal/A/seed1,formal/C/seed1,16,field_log10_rmse,1.0920600650868537,0.9744522723282932,-0.004815452470028958
formal/A/seed1,formal/C/seed1,16,electric_mode1_phase_mae,0.7241965389731297,0.5600224470236979,-0.07769258943572889
formal/A/seed1,formal/C/seed1,16,perturbation_relative_l2,0.8939921675687281,0.9723531991421663,-0.12597203411350327
formal/A/seed2,formal/B/seed2,10,field_log10_rmse,1.0125482100319947,0.9784044325831687,-0.08096754870389983
formal/A/seed2,formal/B/seed2,10,electric_mode1_phase_mae,0.6220873856928442,0.6242046457211117,-0.080880965170872
formal/A/seed2,formal/B/seed2,10,perturbation_relative_l2,2.1241319858691936,1.0219190442020896,-0.6274614771364413
formal/A/seed2,formal/C/seed2,10,field_log10_rmse,1.0125482100319947,1.155323378419315,-0.1560428855792919
formal/A/seed2,formal/C/seed2,10,electric_mode1_phase_mae,0.6220873856928442,0.8544069449379152,-0.08547776335040963
formal/A/seed2,formal/C/seed2,10,perturbation_relative_l2,2.1241319858691936,1.1270135969689252,-1.335990923491402
formal/B/seed0,formal/C/seed0,19,field_log10_rmse,0.9421793608491871,0.8803473267346913,0.003860085363081245
formal/B/seed0,formal/C/seed0,19,electric_mode1_phase_mae,0.6965082767413713,0.45213019899038787,-0.1325413133490141
formal/B/seed0,formal/C/seed0,19,perturbation_relative_l2,0.9374984639172079,0.8009913384504603,-0.0358973540464137
formal/B/seed1,formal/C/seed1,19,field_log10_rmse,0.8393824259484125,0.9562466432665113,0.11224189041455368
formal/B/seed1,formal/C/seed1,19,electric_mode1_phase_mae,0.7590738106730903,0.6541170568056902,0.05856109404565957
formal/B/seed1,formal/C/seed1,19,perturbation_relative_l2,0.9143529968598595,1.0208370977340362,0.12673068336628102
formal/B/seed2,formal/C/seed2,19,field_log10_rmse,0.8858709587786534,0.9005287449289854,-0.08987589900516124
formal/B/seed2,formal/C/seed2,19,electric_mode1_phase_mae,0.8412560421753736,0.5657472029156267,-0.0935684258906476
formal/B/seed2,formal/C/seed2,19,perturbation_relative_l2,1.0100776433202885,0.9725348730788455,-0.06028374775341672
